Date,Open,High,Low,Close,Volume
2025-04-25,2450.1,2459.5,2323.5,2354.3,1414809
2025-04-24,2450,2461.4,2425.1,2442.5,596696
2025-04-23,2460,2473.8,2421.2,2453.6,672262
2025-04-22,2458.9,2483.4,2441,2445.5,766567
2025-04-21,2426.1,2464.9,2395.5,2442.7,782559
2025-04-17,2418,2448.6,2392,2418.1,1054797
2025-04-16,2400,2428,2382.9,2415.6,889949
2025-04-15,2375,2440,2359,2418.2,1145125
2025-04-11,2303.05,2343.5,2281,2321.4,981463
2025-04-09,2265.7,2279.55,2215.2,2236.9,1001633
2025-04-08,2270,2301,2225,2285.7,1224362
2025-04-07,2150.05,2239,2145,2212.7,1567177
2025-04-04,2394.95,2410.05,2315.5,2334.65,1219733
2025-04-03,2339.75,2429.9,2339.7,2410.8,1023200
2025-04-02,2339.75,2378.85,2314.55,2369.4,573928
2025-04-01,2312,2358.95,2301,2335.25,501942
2025-03-28,2376,2386.95,2293.7,2315.8,1838836
2025-03-27,2310,2373.9,2291.6,2363.35,1696042
2025-03-26,2324.9,2359.85,2308.05,2312.6,1078870
2025-03-25,2385,2387.65,2315.1,2320.35,763065
2025-03-24,2370,2395,2361.1,2368.7,1010184
2025-03-21,2343.8,2389.55,2338,2362.8,1101418
2025-03-20,2348,2348,2299,2339.3,2587051
2025-03-19,2319.95,2342,2311.05,2318.65,1030345
2025-03-18,2274,2314.2,2259.75,2308.5,878007
2025-03-17,2200,2286.9,2198,2252.7,927737
2025-03-13,2249,2273,2215.6,2221.1,750310
2025-03-12,2270,2280,2180.95,2241.8,1049076
2025-03-11,2223.15,2267.85,2208.3,2250.6,947079
2025-03-10,2245,2288,2220,2228.3,940113
2025-03-07,2249.95,2267.65,2227,2247.5,818806
2025-03-06,2260,2268.9,2226.15,2252.85,890270
2025-03-05,2153.95,2258.4,2148.05,2245.85,1370106
2025-03-04,2085.1,2154,2080,2144.8,852978
2025-03-03,2109,2127.25,2026.55,2117.1,1592611
2025-02-28,2107,2111.35,2072,2096,2373922
2025-02-27,2143.75,2149.1,2102.5,2110.95,941950
2025-02-25,2115.15,2158.3,2102,2129.85,802131
2025-02-24,2128.95,2138.5,2096.7,2115.15,1032294
2025-02-21,2190.45,2199.6,2116.85,2133.1,1540308
2025-02-20,2180.8,2216.35,2156.8,2179,1086670
2025-02-19,2166,2219.4,2127,2180.8,1203163
2025-02-18,2240,2240,2166.05,2220.3,1138090
2025-02-17,2152.65,2240.4,2110.65,2223.7,1400160
2025-02-14,2245.7,2249.3,2124.55,2152.65,2550043
2025-02-13,2354,2372.75,2233.4,2244.7,2551940
2025-02-12,2325,2378.45,2281,2353.45,1933098
2025-02-11,2312,2397,2306,2321.75,4895456
2025-02-10,2350,2350.95,2280.1,2290.8,739708
2025-02-07,2312.45,2374.9,2307.35,2338.8,892900
2025-02-06,2340,2340,2298.2,2312.45,680544
2025-02-05,2314.95,2349.4,2309.05,2324.6,560940
2025-02-04,2278.9,2312,2267.55,2301.5,691187
2025-02-03,2266.75,2279,2213.9,2261.85,824942
2025-02-01,2297,2351.45,2237.55,2270,987362
2025-01-31,2238.85,2314.95,2213.75,2287.8,2013345
2025-01-30,2325,2351.5,2201.3,2252.6,2601625
2025-01-29,2297,2326.25,2282.6,2318.6,785220
2025-01-28,2274.2,2315.85,2242,2286.05,966497
2025-01-27,2310.05,2318.1,2250.05,2259.7,1032995
2025-01-24,2387.75,2406,2299.4,2315.1,1388583
2025-01-23,2383,2405.15,2355,2385,826721
2025-01-22,2399,2399,2325.15,2376.55,1147334
2025-01-21,2441.75,2441.75,2373.65,2384.3,1206512
2025-01-20,2413.75,2454,2390,2442.8,1039435
2025-01-17,2450,2450,2380.05,2399.8,1122205
2025-01-16,2500,2570,2418.85,2427.85,2841803
2025-01-15,2399,2421.95,2372.65,2388.15,1421437
2025-01-14,2241.5,2422.9,2241.5,2380.55,4120705
2025-01-13,2365,2365,2216.9,2225.15,1559903
2025-01-10,2480,2484.6,2368.25,2374.4,1418808
2025-01-09,2517,2517.55,2469.5,2477.9,705838
2025-01-08,2520.55,2530,2490,2515.25,879641
2025-01-07,2474.65,2525,2474.65,2520.55,1019131
2025-01-06,2557.65,2568.85,2463.5,2474.45,1121398
2025-01-03,2580,2619,2556.6,2564.6,932795
2025-01-02,2565.7,2602,2537,2597.7,1167236
2025-01-01,2536,2644.2,2518.25,2554.85,2875721
2024-12-31,2575,2577.75,2507.45,2528.65,2745674
2024-12-30,2425,2610,2421.95,2592.35,7825097
2024-12-27,2415,2446.15,2390.5,2409.95,1982291
2024-12-26,2378.05,2410,2368,2400.25,895785
2024-12-24,2355.2,2412.9,2340,2372.45,1156186
2024-12-23,2373.95,2379.5,2332.75,2338.95,758920
2024-12-20,2429,2453.85,2333,2344.95,1337016
2024-12-19,2429,2434,2397.1,2419.35,1181898
2024-12-18,2489,2496.6,2452,2457.4,990217
2024-12-17,2512,2525,2480.75,2487.6,1061891
2024-12-16,2530,2537.5,2503,2512.4,654321
2024-12-13,2504,2545,2479.05,2527.55,1940935
2024-12-12,2457,2534.8,2446.25,2504.1,2579624
2024-12-11,2469,2480,2451,2457.25,712674
2024-12-10,2501,2501,2455,2467.2,1119844
2024-12-09,2507.9,2526,2483.15,2495.85,958369
2024-12-06,2520,2535,2502.5,2506.4,1240437
2024-12-05,2505,2538.15,2470.25,2522.55,3333144
2024-12-04,2528,2530.05,2470.1,2494.75,2344949
2024-12-03,2464,2558,2462.05,2514.2,4070042
2024-12-02,2491.35,2508,2426.6,2457.05,3807565
2024-11-29,2464.05,2520,2400,2463.15,8191680
2024-11-28,2440,2526.3,2400,2437.1,14445549
2024-11-27,2180,2418,2142.15,2397.8,17502156
2024-11-26,2265.6,2292.85,2136,2150.5,7723187
2024-11-25,2315,2333.65,2238,2257.5,7466733
2024-11-22,2101,2289.7,2025,2228,20939196
2024-11-21,2539.35,2539.35,2155.05,2183.65,21796668
2024-11-19,2831,2894.8,2809.8,2821.5,536296
2024-11-18,2826.8,2858.65,2793.3,2818.7,489692
2024-11-14,2824,2844.8,2801,2826.8,646797
2024-11-13,2860,2889,2808,2816.7,890146
2024-11-12,2910,2930.45,2855,2870,597231
2024-11-11,2928,2946.8,2888,2903.65,584144
2024-11-08,2965.1,2995,2911.25,2929.1,835641
2024-11-07,3045,3045,2943.05,2970.1,1285585
2024-11-06,2918,3070,2918,3046.25,1676755
2024-11-05,2897.4,2924,2870,2915.55,752303
2024-11-04,2935,2943,2857.75,2897.4,1059384
2024-11-01,2960,2975.6,2928.4,2949.5,304673
2024-10-31,2967.9,2976.5,2933.85,2947.25,1156390
2024-10-30,2864,2997.15,2815.05,2969.3,2884272
2024-10-29,2803,2863.05,2732.85,2848.6,1529844
2024-10-28,2701.1,2822.4,2672.1,2798.65,1385033
2024-10-25,2845,2847,2654.7,2693.45,1954174
2024-10-24,2841.05,2875.15,2807.9,2830.2,942066
2024-10-23,2840.85,2879,2820.1,2835.55,1270530
2024-10-22,2938,2955,2818,2823.8,1209732
2024-10-21,3005.15,3014.95,2916.95,2937.65,1051690
2024-10-18,2990,3031.7,2968.1,3002,796339
2024-10-17,3089.95,3100,2993,3013.75,2655289
2024-10-16,3098,3115.4,3061,3085.9,543476
2024-10-15,3124,3128,3091.5,3104.7,371613
