Date,Open,High,Low,Close,Volume
2025-04-25,7169.5,7243,6898,6953,550158
2025-04-24,7141.5,7184.5,7093.5,7159.5,277769
2025-04-23,7088.5,7169,7071.5,7142,287593
2025-04-22,7141.5,7172.5,7070,7088.5,305540
2025-04-21,7150,7189,7058,7142.5,244570
2025-04-17,7038,7092,7000,7073.5,533349
2025-04-16,6870,7034.5,6865,7005.5,621996
2025-04-15,6965,6965,6835,6905,778401
2025-04-11,6822.7,6870.95,6765.5,6780.95,652003
2025-04-09,6665,6851.45,6665,6834.1,680834
2025-04-08,6725,6790,6716.25,6755.6,578124
2025-04-07,6565,6725.7,6490.85,6683.3,744140
2025-04-04,6672,6735,6582,6714.55,279897
2025-04-03,6675.05,6774.95,6660.05,6671.35,312519
2025-04-02,6632.3,6746.4,6632.3,6732.15,292940
2025-04-01,6599,6661.9,6545.65,6632.3,319668
2025-03-28,6492.05,6649.75,6432.95,6616.2,413873
2025-03-27,6500.05,6559.95,6430.25,6492.05,728926
2025-03-26,6653.8,6680,6491.05,6519.8,281646
2025-03-25,6596.5,6667.15,6562.05,6644.7,223679
2025-03-24,6649.4,6699.95,6600.45,6615.8,390002
2025-03-21,6494,6634.1,6470.05,6611.55,496635
2025-03-20,6465,6484.65,6363.75,6474.35,457285
2025-03-19,6275.25,6434.9,6227.1,6427.55,579880
2025-03-18,6209.9,6260.95,6162.5,6246.8,308477
2025-03-17,6002,6204.2,6002,6156.65,287639
2025-03-13,6155.1,6200,6082.1,6105.65,247628
2025-03-12,6134.1,6157.95,6063.75,6143.75,250139
2025-03-11,6130,6155.7,6040,6134.8,526709
2025-03-10,6206.4,6212,6133.9,6149.6,266044
2025-03-07,6292.25,6314.75,6197.3,6216.1,299433
2025-03-06,6255,6292,6217.05,6274.1,284475
2025-03-05,6200,6235.05,6130.65,6214.4,345922
2025-03-04,6133,6220.5,6112.3,6188.15,445246
2025-03-03,6025.6,6195,6001,6170.6,373515
2025-02-28,6145.05,6145.05,6001.35,6052.6,845516
2025-02-27,6261,6282.25,6145.45,6185.2,397857
2025-02-25,6251,6279.95,6213.05,6251.35,421160
2025-02-24,6275,6275,6236,6251.4,458224
2025-02-21,6362.3,6395.6,6292.95,6317.55,220428
2025-02-20,6384.25,6469.45,6377.9,6390.95,165304
2025-02-19,6348.25,6435,6284.25,6422.65,195067
2025-02-18,6320,6390,6320,6376.85,220118
2025-02-17,6150,6317,6150,6300.2,482329
2025-02-14,6377.25,6379.9,6230.6,6270.5,320088
2025-02-13,6372.25,6425,6344.45,6372.2,636246
2025-02-12,6349.6,6494.05,6215,6374.55,1133586
2025-02-11,6799.9,6815,6282.5,6317.35,1728723
2025-02-10,6817.2,6834.35,6686,6761.25,213808
2025-02-07,6921.45,6929.85,6750,6790.55,259335
2025-02-06,6837.4,6925,6785.55,6874.25,334197
2025-02-05,6826.15,7008,6796.45,6944.65,389639
2025-02-04,6785,6816.6,6706.3,6792.2,223642
2025-02-03,6781.6,6886.75,6724.95,6798.65,250589
2025-02-01,6810.3,6940,6810.25,6841.1,117096
2025-01-31,6822.25,6880,6789.15,6810.5,187712
2025-01-30,6786.25,6895,6770.35,6824.65,204648
2025-01-29,6741,6798.75,6697.25,6784.3,146288
2025-01-28,6699,6747.5,6635.05,6708.95,202194
2025-01-27,6700,6729.8,6674.35,6695.45,191705
2025-01-24,6915.25,6915.25,6728.45,6745.05,317194
2025-01-23,6892.25,6963.1,6823.2,6920.85,271085
2025-01-22,6908,6941.95,6829.9,6892.9,247081
2025-01-21,6838,7014.95,6838,6919.15,799900
2025-01-20,6901,6910,6740,6780.85,120356
2025-01-17,6819.95,6845,6762.3,6828.1,166710
2025-01-16,6760,6807.8,6700.05,6789.65,579821
2025-01-15,6749.6,6759.95,6608,6691.85,547360
2025-01-14,6854.6,6899,6683.1,6706.85,362659
2025-01-13,7000,7000,6756.05,6839.6,431086
2025-01-10,7090,7139,7016.85,7036.75,185381
2025-01-09,7140,7163.7,6991.1,7091.55,305521
2025-01-08,7448.75,7460,7131,7142.65,450295
2025-01-07,7466.25,7545.35,7345.2,7436.75,398234
2025-01-06,7298.35,7473,7290.75,7429.15,527272
2025-01-03,7427.95,7437.55,7280,7298.35,180636
