Date,Open,High,Low,Close,Volume
2025-04-25,9310.5,9344.5,8990,9112,1089354
2025-04-24,9620,9660,9273,9301,1849671
2025-04-23,9282,9348.5,9150,9323,1081872
2025-04-22,9295,9393,9230,9260.5,1129358
2025-04-21,9170,9315,9141.5,9273.5,782415
2025-04-17,9040,9190,8952,9162.5,1141513
2025-04-16,9149.5,9171.5,8964,9056.5,719822
2025-04-15,9255.5,9290,9075.5,9141,1263361
2025-04-11,8825.05,8973.5,8810.7,8921.1,1009722
2025-04-09,8815,8842,8625,8735.8,1048774
2025-04-08,8650,8873,8650,8822.25,1477563
2025-04-07,8340,8600.5,8307.15,8568,1398124
2025-04-04,8656,8797,8583.8,8718.85,1849658
2025-04-03,8650,8765,8460.2,8594.6,1396633
2025-04-02,8730,8759.85,8612,8669.25,646495
2025-04-01,8783.3,8925,8671,8698.2,1183424
2025-03-28,8997.6,9028.9,8861,8945.6,977099
2025-03-27,8861,9055.4,8822.25,9003.85,2092044
2025-03-26,9102.05,9126.9,8849.95,8866.05,886211
2025-03-25,9125,9260.05,8977.05,9067.25,1748260
2025-03-24,9095.95,9115,8927,9090.05,1433217
2025-03-21,9039.95,9089,8831,8916.1,2744801
2025-03-20,8725,8768.05,8541.15,8679.65,792433
2025-03-19,8700,8879,8682.6,8731.6,1289820
2025-03-18,8615,8699,8494.8,8682.5,1103110
2025-03-17,8399.2,8629.95,8386,8580.35,1102085
2025-03-13,8500,8560,8393,8420.45,1217351
2025-03-12,8341.1,8524.5,8272.55,8484.45,2088223
2025-03-11,8305,8375,8211.25,8340.45,813567
2025-03-10,8437.75,8637.9,8326.05,8342.6,1016453
2025-03-07,8409.9,8470,8366.45,8404.5,472946
2025-03-06,8365,8459.8,8275.55,8410.85,881422
2025-03-05,8455,8500,8221,8298.7,1630092
2025-03-04,8522.2,8619.3,8513.65,8585.95,765506
2025-03-03,8536,8650.8,8438.1,8627.85,874996
2025-02-28,8665,8670,8510.05,8530.3,1754580
2025-02-27,8542.6,8739,8542.6,8705.4,1838283
2025-02-25,8354.95,8526.65,8338.05,8488.8,1098541
2025-02-24,8328,8399,8311.05,8354.95,355260
2025-02-21,8360,8420.3,8288,8396.7,608647
2025-02-20,8355.85,8455.6,8345.65,8399.45,790070
2025-02-19,8459.15,8529,8400,8439.45,896198
2025-02-18,8430,8480,8360.7,8465.9,868977
2025-02-17,8220.25,8488,8220.25,8426.6,862799
2025-02-14,8408.55,8455.6,8282,8392.3,863315
2025-02-13,8197.05,8498,8197.05,8409,1800313
2025-02-12,8149.65,8284,8025,8214.05,1483731
2025-02-11,8299,8355.1,8139.35,8191.2,963059
2025-02-10,8478.8,8488,8220,8286.8,1243838
2025-02-07,8585,8585,8383.9,8474.25,966540
2025-02-06,8534.25,8662.8,8462,8507.3,1709473
2025-02-05,8500,8588.7,8445.5,8509.45,1867493
2025-02-04,8425,8490,8303,8475.35,1966300
