Date,Open,High,Low,Close,Volume
2025-04-25,1924.8,1933,1891.8,1911.2,9250439
2025-04-24,1910,1923.9,1905.1,1916.8,12965877
2025-04-23,1978.9,1978.9,1920.5,1923.9,15285321
2025-04-22,1935,1970.6,1935,1961.7,22980875
2025-04-21,1924,1950.7,1910,1927.1,17123649
2025-04-17,1882,1919.7,1876.7,1906.7,17851542
2025-04-16,1883.8,1883.8,1860.5,1878,9568410
2025-04-15,1865,1876.8,1855,1864.9,24649172
2025-04-11,1774.75,1819.4,1774.75,1806.75,16387883
2025-04-09,1765,1775,1753.5,1765,11227304
2025-04-08,1765,1782,1750.3,1769.15,17781936
2025-04-07,1762.8,1779.85,1738.2,1757.7,18997725
2025-04-04,1813,1841.95,1811.1,1817.3,16770227
2025-04-03,1781.1,1804,1777,1794.85,5625019
2025-04-02,1770.7,1799.2,1770.7,1796.9,5786782
2025-04-01,1802,1809.9,1765.35,1767.85,14255503
2025-03-28,1829,1836,1805.85,1828.2,14386824
2025-03-27,1800,1841,1798.1,1825.35,20829050
2025-03-26,1825,1827.5,1802,1806.55,12239221
2025-03-25,1804.9,1843.7,1801.5,1821.45,19550708
2025-03-24,1779,1804.4,1773.65,1800,8696868
2025-03-21,1755.55,1774.1,1755.55,1770.35,16754132
2025-03-20,1754,1774,1749.3,1768.75,8916989
2025-03-19,1735,1751,1732.2,1744.1,7610703
2025-03-18,1728,1737.4,1715.05,1732.2,10953589
2025-03-17,1705,1724,1705,1710.4,9475957
2025-03-13,1716.05,1720.8,1700.05,1706.6,7868132
2025-03-12,1691.55,1718.5,1691.55,1711.15,9392053
2025-03-11,1682.4,1694,1670.05,1685.5,9949215
2025-03-10,1689,1699.9,1683.05,1687.5,7802025
2025-03-07,1682,1701.15,1677.6,1689.25,6686457
2025-03-06,1687,1699.9,1672.25,1691.2,16483044
2025-03-05,1701.95,1710.8,1688.25,1690,10791936
2025-03-04,1698,1714.3,1693.25,1710,9960479
2025-03-03,1739.8,1743.05,1694.1,1701.55,10602682
2025-02-28,1685,1737.25,1685,1732.4,27258364
2025-02-27,1682.55,1710.75,1682.55,1700.7,17893400
2025-02-25,1671.1,1688,1671.1,1682.35,12069354
2025-02-24,1681.1,1684.2,1661.1,1677.1,10346823
2025-02-21,1680.9,1694.95,1677.25,1692.5,7840470
2025-02-20,1711,1714.7,1685.3,1687.1,13195255
2025-02-19,1717,1737.9,1712.45,1727.2,5942056
2025-02-18,1713.05,1731.55,1706.15,1723.05,8175455
2025-02-17,1685.2,1720,1681.25,1717.35,6469473
2025-02-14,1701.9,1701.9,1680,1694.85,9979946
2025-02-13,1699,1714.25,1693.55,1697.7,6301217
2025-02-12,1693,1712,1681.2,1706.8,11404785
2025-02-11,1703,1711,1688.7,1701.4,11362352
2025-02-10,1717.3,1723.45,1708.5,1715.75,8597975
2025-02-07,1750,1767,1725,1732.75,11754800
2025-02-06,1735.5,1749,1724,1743.85,13380358
2025-02-05,1733,1744.2,1718.9,1737.8,11837753
2025-02-04,1688.7,1725.8,1680.05,1720.9,14308251
2025-02-03,1670,1686.8,1663.45,1678,10138270
2025-02-01,1697.5,1713,1676.05,1690.95,2793764
2025-01-31,1687.25,1704.7,1683.95,1698.75,7910843
2025-01-30,1681,1697.9,1672.55,1691.5,12872423
2025-01-29,1675,1681.15,1668.85,1677.3,6309945
2025-01-28,1647,1684.3,1647,1670.4,15089656
2025-01-27,1641.1,1643.6,1626,1629.8,11402083
2025-01-24,1660,1670.3,1644.5,1649.8,12118100
2025-01-23,1687,1687,1651.25,1664.9,17454579
2025-01-22,1642.4,1671.9,1625.45,1666.05,15309653
2025-01-21,1658.25,1661.05,1633.05,1642.4,15579072
2025-01-20,1626,1660.95,1626,1651.25,8778809
2025-01-17,1643.5,1650.5,1628.5,1636.75,11556038
2025-01-16,1652.85,1660.55,1642.85,1652.05,10606227
2025-01-15,1656.5,1662.7,1636.3,1643.05,7011446
2025-01-14,1639.9,1656.2,1637,1646.6,13330716
2025-01-13,1640,1646.75,1624.3,1630.85,10834533
2025-01-10,1671,1674.9,1654,1656.75,8726640
2025-01-09,1684.15,1689,1658.1,1667.8,20210111
2025-01-08,1708.25,1711.65,1683.35,1694.3,9869095
2025-01-07,1715,1721,1700,1713.4,6763953
2025-01-06,1740.1,1757.2,1705.8,1710.5,9408174
2025-01-03,1791,1795.25,1746.3,1749.2,12213097
2025-01-02,1777.1,1803.45,1773,1793.75,9279288
2025-01-01,1773.45,1794,1761.1,1782.75,3656903
2024-12-31,1770.3,1781.8,1765.6,1772.85,7058618
2024-12-30,1792.2,1815,1771,1777.9,11111109
2024-12-27,1794.8,1805.95,1789.1,1798.25,3629665
2024-12-26,1798.55,1812,1780.75,1790.75,5240839
2024-12-24,1802.05,1808.7,1789.55,1798.1,7242917
2024-12-23,1782,1806,1781.3,1801,5522296
2024-12-20,1782.2,1797.55,1767.05,1771.5,12846174
2024-12-19,1799.6,1801.1,1779,1793.5,12690385
2024-12-18,1829.85,1836,1807.15,1810.7,11711156
2024-12-17,1856.35,1862.35,1826.5,1833.25,10539766
2024-12-16,1865.1,1869.95,1855.25,1865.2,6553541
2024-12-13,1862.5,1875,1829.25,1871.75,9504501
2024-12-12,1851,1868.65,1848.7,1859.25,8646895
2024-12-11,1861.7,1871.9,1856.75,1863.1,7022713
2024-12-10,1877.7,1877.7,1858.55,1868.1,6662740
2024-12-09,1853.65,1880,1849,1870,13473956
2024-12-06,1857,1864.2,1844,1855.85,8891578
2024-12-05,1860,1879.95,1835.2,1865.75,19841357
2024-12-04,1838,1865,1831.15,1860.1,22334542
2024-12-03,1822.7,1837.4,1816.1,1826.3,21705121
2024-12-02,1803.5,1808.15,1775,1804.7,7555438
2024-11-29,1801.3,1804.6,1782.9,1796.05,13834768
2024-11-28,1819,1836.1,1788,1793.15,17861196
2024-11-27,1789.9,1817.35,1785.15,1812.3,16357488
2024-11-26,1810,1810,1769.8,1785.55,15467783
2024-11-25,1785.05,1803.55,1764.9,1785.6,213868637
2024-11-22,1743.55,1754.3,1729.55,1745.6,12386806
2024-11-21,1749.4,1759,1734.2,1741.2,17858256
2024-11-19,1714,1753.75,1702.7,1742.25,25490636
2024-11-18,1700,1718.9,1695,1705.1,13540984
2024-11-14,1673.1,1704.85,1672.1,1692.75,13573235
2024-11-13,1716.75,1729.4,1673,1681.35,17864250
2024-11-12,1772,1775,1708.65,1718.2,15697703
2024-11-11,1754.55,1782.8,1751.2,1766.3,12282681
2024-11-08,1752,1761.8,1745.85,1754.45,9951493
2024-11-07,1744.3,1760.95,1738,1746.55,9447728
2024-11-06,1771.5,1771.5,1745.35,1755.25,13893955
2024-11-05,1703,1762.7,1697.9,1757.85,22116203
2024-11-04,1745,1745,1710.9,1714.1,14044624
2024-11-01,1733,1744.1,1726.1,1737.3,879846
2024-10-31,1728,1738.9,1719.4,1735.7,11447956
2024-10-30,1742,1754.75,1724.2,1734.6,16357862
2024-10-29,1726.15,1764,1725.1,1751.85,17897463
2024-10-28,1742,1751,1728.9,1734.2,11006071
2024-10-25,1755,1757.85,1728.7,1743.4,13065239
2024-10-24,1738.1,1768.65,1738.1,1749.65,15416129
2024-10-23,1705.05,1746.5,1705.05,1735.8,19018045
2024-10-22,1730.05,1740,1710.7,1714.55,19437640
2024-10-21,1715,1748.15,1711.05,1728.7,23274177
2024-10-18,1663.1,1691,1654.1,1681.85,12404862
2024-10-17,1694.95,1697.65,1665.2,1673.15,7347866
2024-10-16,1680.1,1707.95,1680.1,1699.8,10235341
2024-10-15,1694,1698,1675.5,1684.1,9825565
2024-10-14,1656.05,1692.05,1654,1688.1,9263754
2024-10-11,1664.45,1664.45,1643.25,1651,11836297
2024-10-10,1639,1665.45,1632.5,1662.4,10877383
2024-10-09,1649.5,1656.75,1628.7,1633.15,20562821
2024-10-08,1630,1656.8,1622,1651.05,14867203
2024-10-07,1652.2,1659,1613,1617.8,47229148
2024-10-04,1674.5,1690.65,1653,1657.65,24341616
2024-10-03,1715.65,1726.15,1673.35,1682,24236699
2024-10-01,1724,1742,1720.1,1726.2,12286142
2024-09-30,1748.8,1751.45,1724.4,1732.05,13191767
2024-09-27,1777,1778.2,1750,1752.65,17806751
2024-09-26,1773.05,1788,1768.05,1783.45,15949822
2024-09-25,1760.15,1788,1760.15,1779.1,15982656
2024-09-24,1765,1781.65,1754.25,1768.05,16519518
2024-09-23,1749,1766.35,1740.25,1759.8,13482675
2024-09-20,1716.5,1744.95,1707.55,1741.2,30311693
2024-09-19,1699.2,1719,1699.15,1708.5,15325888
2024-09-18,1671.85,1698.9,1671.1,1694.8,20458671
2024-09-17,1678,1678,1664.15,1668.8,10063561
2024-09-16,1667,1677.8,1664.05,1670.95,7586410
2024-09-13,1674,1674,1657.05,1665.95,11930266
2024-09-12,1654,1670,1647.05,1666.6,16212023
