Date,Open,High,Low,Close,Volume
2025-04-25,2426.9,2435.2,2387.3,2413.5,1128284
2025-04-24,2435,2515,2379,2433.2,2337238
2025-04-23,2419.3,2441.9,2400,2433.4,582556
2025-04-22,2405,2420,2390,2407.3,487954
2025-04-21,2401,2421,2390.5,2399.4,476565
2025-04-17,2372,2423.2,2358.6,2416.6,907921
2025-04-16,2347,2390.1,2347,2383.3,677212
2025-04-15,2381.4,2381.4,2345.6,2367.9,780874
2025-04-11,2345.7,2372,2322.05,2361.4,1118317
2025-04-09,2283.2,2362.6,2272.2,2344.85,1853374
2025-04-08,2255,2282.95,2231.25,2275.4,873508
2025-04-07,2160,2257.35,2160,2249,737285
2025-04-04,2234,2282.8,2217.25,2262.15,591735
2025-04-03,2198.05,2249.05,2195,2245.65,317858
2025-04-02,2230,2230,2148,2210.7,1300852
2025-04-01,2261.9,2287.85,2218.1,2234,1020055
2025-03-28,2243.05,2287.95,2243.05,2250.75,716151
2025-03-27,2240.2,2268,2225.25,2242.05,865586
2025-03-26,2254.9,2269.85,2240.1,2243.45,533469
2025-03-25,2260,2280,2230.2,2254.85,742142
2025-03-24,2273.1,2288.6,2260.05,2263.55,430951
2025-03-21,2240.9,2275,2231.95,2268.85,792637
2025-03-20,2204,2228.75,2181.15,2221.55,476874
2025-03-19,2206.5,2213.4,2180.15,2184,422543
2025-03-18,2178,2206.1,2170,2202.05,423776
2025-03-17,2175.55,2203.35,2156,2174.35,410005
2025-03-13,2202.1,2211.75,2184.1,2191.95,292170
2025-03-12,2249,2254.1,2191.65,2195.5,358589
2025-03-11,2240.8,2272.45,2233.75,2251.4,478555
2025-03-10,2239.2,2274,2155.1,2248.4,506580
2025-03-07,2201,2246,2191.25,2238.45,525606
2025-03-06,2187,2216.4,2170.3,2201.2,1257461
2025-03-05,2110,2209.35,2110,2197,846664
2025-03-04,2160,2164.1,2118,2146.5,1042522
2025-03-03,2188.25,2200,2150.8,2185.55,521775
2025-02-28,2261,2270,2185,2189.65,1843566
2025-02-27,2260.2,2281.8,2250,2278.2,751003
2025-02-25,2222.45,2256.4,2213.85,2250.4,642834
2025-02-24,2199,2237.85,2196.05,2220.4,484042
2025-02-21,2216.95,2218.1,2189.3,2214.95,594245
2025-02-20,2204.95,2214.95,2186.8,2206.75,658467
2025-02-19,2206,2224,2197.55,2204.95,426479
2025-02-18,2216.5,2229.5,2199.95,2222.4,453059
2025-02-17,2195.85,2220,2170,2216.5,801515
2025-02-14,2177.55,2225,2170.05,2195.85,960861
2025-02-13,2193.75,2210.2,2172.65,2177.55,511147
2025-02-12,2214,2214,2171.7,2193.75,503258
2025-02-11,2221.05,2232.1,2177.95,2195.5,476837
2025-02-10,2235,2252.5,2206.2,2221.05,760181
2025-02-07,2234,2238,2207.55,2225.1,792558
2025-02-06,2269,2269,2227,2239.45,986957
2025-02-05,2283.8,2297.9,2225.25,2248.95,1475295
2025-02-04,2322.4,2322.8,2283.7,2299.45,1243517
2025-02-03,2327.2,2374,2311.7,2317.1,1140871
2025-02-01,2313,2374,2257.25,2327.2,1246565
2025-01-31,2217.35,2387,2209.5,2313.2,3139887
2025-01-30,2189,2232.7,2180.7,2217.35,574560
2025-01-29,2156.3,2184.9,2131.25,2180.7,397145
2025-01-28,2174.75,2181.85,2142.6,2156.3,721033
2025-01-27,2182.05,2231.9,2168.6,2174.75,549986
2025-01-24,2202,2222.75,2190.1,2207.9,663600
2025-01-23,2194.15,2209.6,2165,2198.95,496007
2025-01-22,2196.45,2212.95,2194.15,2207.8,448036
2025-01-21,2225,2240,2191.55,2196.45,764414
2025-01-20,2219.2,2225,2202.35,2214,401108
2025-01-17,2180.65,2226.35,2172.55,2217.2,455901
2025-01-16,2205.1,2218.25,2156.5,2169.3,1325809
2025-01-15,2219.05,2220.1,2172.2,2199.65,723625
2025-01-14,2251.2,2256.6,2199.25,2219.05,702549
2025-01-13,2245,2261.15,2221.55,2237.35,804531
2025-01-10,2272.05,2278,2241.25,2247.9,809854
2025-01-09,2215.45,2271.8,2204.05,2256.05,1147318
2025-01-08,2223,2224.95,2194.55,2219.9,449500
2025-01-07,2190.2,2216.3,2179.9,2212.65,595819
2025-01-06,2243.5,2244.9,2170,2185,1138466
2025-01-03,2200.2,2237.95,2198.05,2232.7,1011450
2025-01-02,2169,2207.75,2163.15,2200.2,629164
2025-01-01,2170,2179.25,2157.3,2169.25,454290
2024-12-31,2155,2174.55,2147.75,2170.05,635557
2024-12-30,2174,2177,2149,2159.9,1235490
2024-12-27,2159,2169.05,2151,2165.6,462667
2024-12-26,2158.2,2176,2146.4,2149.9,523926
2024-12-24,2151.7,2175,2151.7,2166.7,322566
2024-12-23,2170,2180,2147.7,2151.6,438717
2024-12-20,2160,2175,2145.4,2163.5,1651762
2024-12-19,2185,2194.25,2147.4,2160.4,1553990
2024-12-18,2202.95,2213.95,2180.5,2188.05,966166
2024-12-17,2226,2233.95,2200,2202.95,1498906
2024-12-16,2253.5,2257.5,2228.55,2238.75,665686
2024-12-13,2225,2257.85,2208.25,2253.5,554661
2024-12-12,2249.95,2254,2215.1,2224.05,965610
2024-12-11,2225,2254,2223,2241.05,734861
2024-12-10,2229,2240,2210,2214.45,915298
2024-12-09,2270,2276.6,2213.65,2228.85,969851
2024-12-06,2266.45,2291.95,2255.1,2267.8,645601
2024-12-05,2257.8,2277,2221,2265.5,1187784
2024-12-04,2261,2275,2241.45,2257.8,968869
2024-12-03,2262,2266.85,2250,2261.7,766232
2024-12-02,2242.8,2257,2223.1,2251.85,468272
2024-11-29,2227,2263,2227,2234.65,1349160
2024-11-28,2274.05,2289.5,2228,2236.25,1246378
2024-11-27,2276.6,2276.8,2250.45,2273.95,437361
2024-11-26,2270,2287.95,2250.5,2265.25,317122
2024-11-25,2258.55,2283.65,2246.25,2256.95,2029802
2024-11-22,2214.2,2252.85,2204.2,2247.3,771958
2024-11-21,2205.55,2250,2187,2211.2,827884
2024-11-19,2225,2243.65,2203.9,2214.15,806020
2024-11-18,2190.7,2218.95,2168.7,2213.2,691665
2024-11-14,2239.05,2244.95,2178.4,2182.8,1159238
2024-11-13,2241.25,2251.95,2222,2235.25,763388
2024-11-12,2290.45,2290.45,2241,2256.2,1105339
2024-11-11,2280,2294.85,2254.2,2279.05,773595
2024-11-08,2270,2298,2258.8,2295.65,834995
2024-11-07,2273,2284.85,2241.7,2262.85,891957
2024-11-06,2268,2279.7,2258.05,2275.6,806973
2024-11-05,2256,2267.9,2236.3,2262.45,725930
2024-11-04,2283,2287,2230.9,2246.2,963160
2024-11-01,2292.9,2292.95,2268.35,2282.3,121614
2024-10-31,2287,2287,2260,2262.95,659765
2024-10-30,2278.75,2297.25,2260.2,2276.3,893773
2024-10-29,2280,2285.8,2260.75,2267.4,929831
2024-10-28,2270.95,2319,2256.05,2272.05,875565
2024-10-25,2269,2286.5,2257,2260.7,1341509
2024-10-24,2339,2340,2216,2258.65,2955497
2024-10-23,2350.05,2374.9,2320.1,2327.15,707261
2024-10-22,2354.5,2385,2340.05,2350.25,967131
2024-10-21,2360,2374,2333,2354.65,748704
2024-10-18,2380,2383.65,2326.1,2350.25,1639185
2024-10-17,2474.95,2474.95,2365,2378.7,2627754
2024-10-16,2490,2493.05,2431.45,2462.25,1236643
2024-10-15,2502.05,2502.05,2472,2484.25,795154
2024-10-14,2519.7,2519.7,2493.15,2502.05,670384
2024-10-11,2520,2522,2496.1,2511.8,628464
2024-10-10,2529,2531.7,2506,2512.45,1030002
2024-10-09,2579,2580,2468.95,2516,2366595
2024-10-08,2570.6,2594,2551.6,2581.75,1202170
2024-10-07,2604.95,2620,2566.9,2573.85,1102858
2024-10-04,2663,2678.35,2590.3,2598.15,1033034
2024-10-03,2685,2695,2650.35,2674.85,812365
2024-10-01,2690,2710,2672.9,2707.05,552759
2024-09-30,2720,2740,2684.8,2689.95,883192
