Date,Open,High,Low,Close,Volume
2025-04-11T00:00:00+05:30,245,245,238.35,239.75,11205821
2025-04-09T00:00:00+05:30,240.7,242.3,234,236.65,19063559
2025-04-08T00:00:00+05:30,244.75,249.5,243.85,247.25,13806651
2025-04-07T00:00:00+05:30,231.05,243.85,228,242.9,13011904
2025-04-04T00:00:00+05:30,253,253.95,244.85,246.3,14639785
2025-04-03T00:00:00+05:30,259.9,260.5,255.3,256.35,12262561
2025-04-02T00:00:00+05:30,262.8,265.55,261.1,263.6,7136992
2025-04-01T00:00:00+05:30,260.35,263,258.5,262.6,8388635
2025-03-28T00:00:00+05:30,271,271.85,261.6,262.25,14283389
2025-03-27T00:00:00+05:30,270,273.55,269.6,272.2,14783522
2025-03-26T00:00:00+05:30,272,272.25,266.75,267.4,7308412
2025-03-25T00:00:00+05:30,272,274.7,269.35,271,12563930
2025-03-24T00:00:00+05:30,267.05,271.65,265.4,269.4,9269617
2025-03-21T00:00:00+05:30,264,269.55,260.2,264.3,22659168
2025-03-20T00:00:00+05:30,269.2,273.95,267.5,268,17038774
2025-03-19T00:00:00+05:30,262,266.5,256.25,265.7,14044300
2025-03-18T00:00:00+05:30,261.75,263.05,259.4,261.25,11450247
2025-03-17T00:00:00+05:30,264,265.2,258.9,259.85,12697930
2025-03-13T00:00:00+05:30,268.55,271.1,263.35,264,8683943
2025-03-12T00:00:00+05:30,277.7,277.7,262.2,268.55,18584311
2025-03-11T00:00:00+05:30,277,279.3,273.2,277.75,8602609
2025-03-10T00:00:00+05:30,284.45,285.65,277.95,280.9,8165123
2025-03-07T00:00:00+05:30,287.4,287.7,282.9,284.8,8097300
2025-03-06T00:00:00+05:30,288.45,292,283.5,285.9,9782051
2025-03-05T00:00:00+05:30,281.4,286.95,278.65,285.1,10285712
2025-03-04T00:00:00+05:30,279,283.1,276.3,280,9331785
2025-03-03T00:00:00+05:30,279.45,286.35,279.3,283.55,11471554
2025-02-28T00:00:00+05:30,294,294,277,277.65,17458839
2025-02-27T00:00:00+05:30,294,295.8,291.35,294.5,15555649
2025-02-25T00:00:00+05:30,294.35,296.3,290.1,291.3,10810040
2025-02-24T00:00:00+05:30,302.95,303.3,293.35,295.05,12600963
2025-02-21T00:00:00+05:30,312.8,312.8,305.05,306.35,8722925
2025-02-20T00:00:00+05:30,311.2,314.3,310.25,313.3,7697134
2025-02-19T00:00:00+05:30,311.25,316.5,308.3,314.1,7835672
2025-02-18T00:00:00+05:30,305.35,312.75,305.35,312.2,10368789
2025-02-17T00:00:00+05:30,308.1,310.3,302,305.35,7507772
2025-02-14T00:00:00+05:30,310.05,312.4,304.55,308.1,7371341
2025-02-13T00:00:00+05:30,310.3,313.65,306.95,308.55,8832731
2025-02-12T00:00:00+05:30,313.45,315.75,309.35,310.2,9668342
2025-02-11T00:00:00+05:30,319.5,320.4,311.6,313,10627890
2025-02-10T00:00:00+05:30,318.8,321,315.85,319.05,12304840
2025-02-07T00:00:00+05:30,319,319,314,318,8589587
2025-02-06T00:00:00+05:30,320,323.6,314.55,317.95,15062390
2025-02-05T00:00:00+05:30,317.8,321.45,314.9,317.1,9628027
2025-02-04T00:00:00+05:30,318,318.85,313.35,316.25,15366864
2025-02-03T00:00:00+05:30,303,314,300.3,313.6,14877076
2025-02-01T00:00:00+05:30,312.55,313.25,303.35,304.8,6046117
2025-01-31T00:00:00+05:30,311.7,315.7,309.55,311.9,15597644
2025-01-30T00:00:00+05:30,311,313.7,305.95,309,9984186
2025-01-29T00:00:00+05:30,305.05,314.7,305.05,312.45,16338112
2025-01-28T00:00:00+05:30,304,307.6,301.55,303.6,12077491
2025-01-27T00:00:00+05:30,317.8,319.15,306.75,307.95,12372895
2025-01-24T00:00:00+05:30,319,322.5,316.6,320.1,17479586
2025-01-23T00:00:00+05:30,311.1,324.6,310.65,317.7,39904371
2025-01-22T00:00:00+05:30,299.35,310,299.35,309.1,30859317
2025-01-21T00:00:00+05:30,302.4,305.85,297.8,298.35,15619474
2025-01-20T00:00:00+05:30,302,305.4,296.95,300.25,39380165
2025-01-17T00:00:00+05:30,287.8,287.8,280.5,281.95,9358955
2025-01-16T00:00:00+05:30,295.9,296.5,286.7,288.05,10345666
2025-01-15T00:00:00+05:30,293,294.7,289.7,292.65,4662694
2025-01-14T00:00:00+05:30,291.8,294.55,286.55,292.85,7670070
2025-01-13T00:00:00+05:30,298.95,299.25,290.25,291.85,9541248
2025-01-10T00:00:00+05:30,294.3,303.25,294.3,300.55,19505556
2025-01-09T00:00:00+05:30,297,298,291.35,292.3,7964702
2025-01-08T00:00:00+05:30,293,298.45,289.3,297.55,7937785
2025-01-07T00:00:00+05:30,294.3,297.5,291.3,294.05,7381943
2025-01-06T00:00:00+05:30,295,297.8,290.55,294.3,9173687
2025-01-03T00:00:00+05:30,303.3,303.8,294,294.45,12535720
2025-01-02T00:00:00+05:30,298,304.45,297.15,303.8,8800435
2025-01-01T00:00:00+05:30,300,303.35,298.95,300.3,7878201
2024-12-31T00:00:00+05:30,300.95,303,295.25,301.85,9337030
2024-12-30T00:00:00+05:30,309.1,309.4,302.65,303.7,13709891
2024-12-27T00:00:00+05:30,305.2,310.9,304.7,309.1,8063921
2024-12-26T00:00:00+05:30,305.4,306.95,304,305.05,6516148
2024-12-24T00:00:00+05:30,307.5,309.2,302.8,305.3,8837902
2024-12-23T00:00:00+05:30,306.6,310.65,305,307.9,6693583
2024-12-20T00:00:00+05:30,315.5,320,304.4,305.2,22214824
2024-12-19T00:00:00+05:30,306.35,313.4,301.15,312.75,12405595
2024-12-18T00:00:00+05:30,309,313.25,308.55,312.6,10965226
2024-12-17T00:00:00+05:30,311,312.25,307.3,308.85,10568517
2024-12-16T00:00:00+05:30,310,311.4,307.1,309.2,7221189
2024-12-13T00:00:00+05:30,309.1,311.05,304.2,309.95,7382211
2024-12-12T00:00:00+05:30,308,313.8,307.45,309.1,12958440
2024-12-11T00:00:00+05:30,308.15,309.9,305.55,309,8608406
2024-12-10T00:00:00+05:30,306,311,303.45,308.1,17028502
2024-12-09T00:00:00+05:30,295,305.7,293.75,303.75,9285213
2024-12-06T00:00:00+05:30,299.15,299.15,296.2,297.35,7894350
2024-12-05T00:00:00+05:30,295,300.9,293.9,299.3,13487264
2024-12-04T00:00:00+05:30,294.65,297,291.8,294,14036431
2024-12-03T00:00:00+05:30,295.35,296.2,289.3,291.65,15445286
2024-12-02T00:00:00+05:30,291.2,292.8,289.1,292.3,11194000
2024-11-29T00:00:00+05:30,287.5,290.4,285.8,288.9,8540112
2024-11-28T00:00:00+05:30,292.9,293,285.3,286.1,11896556
2024-11-27T00:00:00+05:30,295.75,298,290.95,291.45,13659676
2024-11-26T00:00:00+05:30,292.5,295.2,289.65,294.5,15771340
2024-11-25T00:00:00+05:30,287.75,293.8,286.95,291.2,23297474
2024-11-22T00:00:00+05:30,281,286.8,278.95,285.8,14733232
2024-11-21T00:00:00+05:30,281,283.8,277.65,278.6,11672608
2024-11-19T00:00:00+05:30,278,284.9,277.35,281,12919778
